id;field_name;sort_template_id
1;requestId;1
2;experimentType;1
3;requestStatus;1
4;maxPctCorrect;1
5;instancesInfo.relationName;1
6;evaluationMethod;1
7;createdBy;1
8;modelPath;1
9;creationDate;1
10;startDate;1
11;endDate;1
12;deletedDate;1
13;requestId;2
14;classifierInfo.classifierName;2
15;requestStatus;2
16;pctCorrect;2
17;instancesInfo.relationName;2
18;evaluationMethod;2
19;modelPath;2
20;creationDate;2
21;startDate;2
22;endDate;2
23;deletedDate;2
24;requestId;3
25;instancesInfo.relationName;3
26;evaluationMethod;3
27;requestDate;3
28;responseStatus;3
29;configurationName;4
30;creationDate;4
31;createdBy;4
32;updated;4
33;actionType;5
34;createdBy;5
35;createdAt;5
36;messageText;5
37;relationName;6
38;createdDate;6
